,Event Name,Winner,Loser,Weight Class
0,UFC 234: Adesanya vs. Silva,Israel Adesanya,Anderson Silva,Middleweight
1,UFC 234: Adesanya vs. Silva,Lando Vannata,Marcos Mariano,Lightweight
2,UFC 234: Adesanya vs. Silva,Ricky Simon,Rani Yahya,Bantamweight
3,UFC 234: Adesanya vs. Silva,Montana De La Rosa,Nadia Kassem,Women's Flyweight
4,UFC 234: Adesanya vs. Silva,Jimmy Crute,Sam Alvey,Light Heavyweight
5,UFC 234: Adesanya vs. Silva,Devonte Smith,Dong Hyun Ma,Lightweight
6,UFC 234: Adesanya vs. Silva,Shane Young,Austin Arnett,Featherweight
7,UFC 234: Adesanya vs. Silva,Kai Kara-France,Raulian Paiva,Flyweight
8,UFC 234: Adesanya vs. Silva,Kyung Ho Kang,Teruto Ishihara,Bantamweight
9,UFC 234: Adesanya vs. Silva,Jalin Turner,Callan Potter,Lightweight
10,UFC 234: Adesanya vs. Silva,Jonathan Martinez,Wuliji Buren,Bantamweight
11,UFC Fight Night: Assuncao vs. Moraes 2,Marlon Moraes,Raphael Assuncao,Bantamweight
12,UFC Fight Night: Assuncao vs. Moraes 2,Jose Aldo,Renato Moicano,Featherweight
13,UFC Fight Night: Assuncao vs. Moraes 2,Demian Maia,Lyman Good,Welterweight
14,UFC Fight Night: Assuncao vs. Moraes 2,Charles Oliveira,David Teymur,Lightweight
15,UFC Fight Night: Assuncao vs. Moraes 2,Johnny Walker,Justin Ledet,Light Heavyweight
16,UFC Fight Night: Assuncao vs. Moraes 2,Livinha Souza,Sarah Frota,Women's Strawweight
17,UFC Fight Night: Assuncao vs. Moraes 2,Markus Perez,Anthony Hernandez,Middleweight
18,UFC Fight Night: Assuncao vs. Moraes 2,Mara Romero Borella,Taila Santos,Women's Flyweight
19,UFC Fight Night: Assuncao vs. Moraes 2,Thiago Alves,Max Griffin,Welterweight
20,UFC Fight Night: Assuncao vs. Moraes 2,Jairzinho Rozenstruik,Junior Albini,Heavyweight
21,UFC Fight Night: Assuncao vs. Moraes 2,Geraldo de Freitas,Felipe Colares,Featherweight
22,UFC Fight Night: Assuncao vs. Moraes 2,Said Nurmagomedov,Ricardo Ramos,Bantamweight
23,UFC Fight Night: Assuncao vs. Moraes 2,Rogerio Bontorin,Magomed Bibulatov,Flyweight
24,UFC Fight Night: Cejudo vs. Dillashaw,Henry Cejudo,TJ Dillashaw,Flyweight
25,UFC Fight Night: Cejudo vs. Dillashaw,Allen Crowder,Greg Hardy,Heavyweight
26,UFC Fight Night: Cejudo vs. Dillashaw,Gregor Gillespie,Yancy Medeiros,Lightweight
27,UFC Fight Night: Cejudo vs. Dillashaw,Joseph Benavidez,Dustin Ortiz,Flyweight
28,UFC Fight Night: Cejudo vs. Dillashaw,Paige VanZant,Rachael Ostovich,Women's Flyweight
29,UFC Fight Night: Cejudo vs. Dillashaw,Glover Teixeira,Karl Roberson,Light Heavyweight
30,UFC Fight Night: Cejudo vs. Dillashaw,Donald Cerrone,Alexander Hernandez,Lightweight
31,UFC Fight Night: Cejudo vs. Dillashaw,Joanne Calderwood,Ariane Lipski,Women's Flyweight
32,UFC Fight Night: Cejudo vs. Dillashaw,Alonzo Menifield,Vinicius Moreira,Light Heavyweight
33,UFC Fight Night: Cejudo vs. Dillashaw,Cory Sandhagen,Mario Bautista,Bantamweight
34,UFC Fight Night: Cejudo vs. Dillashaw,Dennis Bermudez,Te Edwards,Lightweight
35,UFC Fight Night: Cejudo vs. Dillashaw,Geoff Neal,Belal Muhammad,Welterweight
36,UFC Fight Night: Cejudo vs. Dillashaw,Chance Rencountre,Kyle Stewart,Welterweight
37,UFC 232: Jones vs. Gustafsson 2,Jon Jones,Alexander Gustafsson,Light Heavyweight
38,UFC 232: Jones vs. Gustafsson 2,Amanda Nunes,Cris Cyborg,Women's Featherweight
39,UFC 232: Jones vs. Gustafsson 2,Michael Chiesa,Carlos Condit,Welterweight
40,UFC 232: Jones vs. Gustafsson 2,Corey Anderson,Ilir Latifi,Light Heavyweight
41,UFC 232: Jones vs. Gustafsson 2,Alexander Volkanovski,Chad Mendes,Featherweight
42,UFC 232: Jones vs. Gustafsson 2,Walt Harris,Andrei Arlovski,Heavyweight
43,UFC 232: Jones vs. Gustafsson 2,Megan Anderson,Cat Zingano,Women's Featherweight
44,UFC 232: Jones vs. Gustafsson 2,Petr Yan,Douglas Silva de Andrade,Bantamweight
45,UFC 232: Jones vs. Gustafsson 2,Ryan Hall,BJ Penn,Lightweight
46,UFC 232: Jones vs. Gustafsson 2,Nathaniel Wood,Andre Ewell,Bantamweight
47,UFC 232: Jones vs. Gustafsson 2,Uriah Hall,Bevon Lewis,Middleweight
48,UFC 232: Jones vs. Gustafsson 2,Curtis Millender,Siyar Bahadurzada,Welterweight
49,UFC 232: Jones vs. Gustafsson 2,Montel Jackson,Brian Kelleher,Bantamweight
50,UFC Fight Night: Lee vs. Iaquinta,Al Iaquinta,Kevin Lee,Lightweight
51,UFC Fight Night: Lee vs. Iaquinta,Edson Barboza,Dan Hooker,Lightweight
52,UFC Fight Night: Lee vs. Iaquinta,Rob Font,Sergio Pettis,Bantamweight
53,UFC Fight Night: Lee vs. Iaquinta,Charles Oliveira,Jim Miller,Lightweight
54,UFC Fight Night: Lee vs. Iaquinta,Zak Ottow,Dwight Grant,Welterweight
55,UFC Fight Night: Lee vs. Iaquinta,Drakkar Klose,Bobby Green,Lightweight
56,UFC Fight Night: Lee vs. Iaquinta,Joaquim Silva,Jared Gordon,Lightweight
57,UFC Fight Night: Lee vs. Iaquinta,Jack Hermansson,Gerald Meerschaert,Middleweight
58,UFC Fight Night: Lee vs. Iaquinta,Zak Cummings,Trevor Smith,Middleweight
59,UFC Fight Night: Lee vs. Iaquinta,Dan Ige,Jordan Griffin,Featherweight
60,UFC Fight Night: Lee vs. Iaquinta,Mike Rodriguez,Adam Milstead,Light Heavyweight
61,UFC Fight Night: Lee vs. Iaquinta,Juan Adams,Chris de la Rocha,Heavyweight
62,UFC 231: Holloway vs. Ortega,Max Holloway,Brian Ortega,Featherweight
63,UFC 231: Holloway vs. Ortega,Valentina Shevchenko,Joanna Jedrzejczyk,Women's Flyweight
64,UFC 231: Holloway vs. Ortega,Gunnar Nelson,Alex Oliveira,Welterweight
65,UFC 231: Holloway vs. Ortega,Hakeem Dawodu,Kyle Bochniak,Featherweight
66,UFC 231: Holloway vs. Ortega,Thiago Santos,Jimi Manuwa,Light Heavyweight
67,UFC 231: Holloway vs. Ortega,Nina Ansaroff,Claudia Gadelha,Women's Strawweight
68,UFC 231: Holloway vs. Ortega,Gilbert Burns,Olivier Aubin-Mercier,Lightweight
69,UFC 231: Holloway vs. Ortega,Jessica Eye,Katlyn Chookagian,Women's Flyweight
70,UFC 231: Holloway vs. Ortega,Elias Theodorou,Eryk Anders,Middleweight
71,UFC 231: Holloway vs. Ortega,Brad Katona,Matthew Lopez,Bantamweight
72,UFC 231: Holloway vs. Ortega,Dhiego Lima,Chad Laprise,Welterweight
73,UFC 231: Holloway vs. Ortega,Diego Ferreira,Kyle Nelson,Lightweight
74,UFC 231: Holloway vs. Ortega,Aleksandar Rakic,Devin Clark,Light Heavyweight
75,UFC Fight Night: Dos Santos vs. Tuivasa,Junior Dos Santos,Tai Tuivasa,Heavyweight
76,UFC Fight Night: Dos Santos vs. Tuivasa,Mauricio Rua,Tyson Pedro,Light Heavyweight
77,UFC Fight Night: Dos Santos vs. Tuivasa,Justin Willis,Mark Hunt,Heavyweight
78,UFC Fight Night: Dos Santos vs. Tuivasa,Anthony Rocco Martin,Jake Matthews,Welterweight
79,UFC Fight Night: Dos Santos vs. Tuivasa,Sodiq Yusuff,Suman Mokhtarian,Featherweight
80,UFC Fight Night: Dos Santos vs. Tuivasa,Jimmy Crute,Paul Craig,Light Heavyweight
81,UFC Fight Night: Dos Santos vs. Tuivasa,Aleksei Kunchenko,Yushin Okami,Welterweight
82,UFC Fight Night: Dos Santos vs. Tuivasa,Wilson Reis,Ben Nguyen,Flyweight
83,UFC Fight Night: Dos Santos vs. Tuivasa,Keita Nakamura,Salim Touahri,Welterweight
84,UFC Fight Night: Dos Santos vs. Tuivasa,Kai Kara-France,Elias Garcia,Flyweight
85,UFC Fight Night: Dos Santos vs. Tuivasa,Christos Giagos,Mizuto Hirota,Lightweight
86,UFC Fight Night: Dos Santos vs. Tuivasa,Damir Ismagulov,Alex Gorgees,Lightweight
87,UFC - TUF 28 Finale,Kamaru Usman,Rafael Dos Anjos,Welterweight
88,UFC - TUF 28 Finale,Juan Espino,Justin Frazier,Heavyweight
89,UFC - TUF 28 Finale,Macy Chiasson,Pannie Kianzad,Women's Featherweight
90,UFC - TUF 28 Finale,Pedro Munhoz,Bryan Caraway,Bantamweight
91,UFC - TUF 28 Finale,Edmen Shahbazyan,Darren Stewart,Middleweight
92,UFC - TUF 28 Finale,Antonina Shevchenko,Ji Yeon Kim,Women's Flyweight
93,UFC - TUF 28 Finale,Kevin Aguilar,Rick Glenn,Featherweight
94,UFC - TUF 28 Finale,Joseph Benavidez,Alex Perez,Flyweight
95,UFC - TUF 28 Finale,Maurice Greene,Michel Batista,Heavyweight
96,UFC - TUF 28 Finale,Leah Letson,Julija Stoliarenko,Women's Featherweight
